word,meaning
Parapsychology,"תפיסה על-חושית, חקר תופעות על-טבעיות, שימוש בכוחות לא רגילים"
Bunk,"דרגש, מיטה צרה; שטויות; מנוסה (סלנג) "
Zeitgeist,"רוח הזמן, סגנון המתאים לתקופה"
to budget,להכין תקציב; לתקצב 
to retrench,לחסוך; להצטמצם; להתבצר
In lieu of,במקום
Prefab,בית טרומי (בית מוכן מראש שניתן להקים ולפרק בזמן קצר)
Apophenia,הנטייה האנושית להבחין בדפוסים בעלי משמעות בנתונים אקראיים
Entrapment,מלכוד
to excoriate,"לבקר, לגנות; לקלף"
Substrate,"מצע; תשתית, תת-שכבה "
Advection,"זרם אופקי, זרימה אופקית (של אויר, מים וכו'); תנועות אופקיות של מזג-אויר ותכונות אטמוספריות (מטאורולוגיה); שיעור הזרם האופקי "
Caste,"כת, מעמד חברתי"
Endogamy,נישואין עם בני אותה יחידה חברתית בלבד
Utilitarian,"שימושי, תועלתי/ תועלתן"
Cerebrum,המוח הגדול
Bonobo,סוג של שימפנזה גמדית המצויה בזאיר (נכללת ברשימת המינים הנמצאים בסכנת הכחדה) 
Philately,עיסוק וחקר בולי הדואר; בולאות; איסוף בולים
Cephalopod,דיונון
Herbivorous,אוכל עשב
Arboreal,"של עצים, עצי"
Mantis,"גמל-שלמה, חרק טורף ממשפחת החגביים "
Epigenetics,תחום בביולוגיה העוסק בשינוי הגן (פנוטיפ) על ידי משובים מהסביבה ומהעולם (כגון דיאטה או לחץ נפשי)
Corpulent,"גמלוני, שמן, בעל גוף"
Spinneret,"איבר בגוף של בע""ח ממשפחת הרמשים והעכבישיים שטווים קורים"
Transvestite,"אדם הנוהג ללבוש בגדים האופייניים למין השני, בד""כ הומוסקסואל) "
Hemophilia,דממת
Gung ho,"(סינית) לעבוד ביחד; מלא התלהבות, להוט יתר על המידה"
Ultradian,(פסיכולוגיה) שמתרחש יותר מפעם ביום (אך פחות מפעם בשעה)
Circadian,(של) יממה
Voluble,"מובע בלשון רהוטה, רהוט בדיבורו"
Pharmacopoeia,ספר רוקחים; ספר תרופות
to croon,לזמזם; לזמר
Matron,אם בית; גברת; אשה נשואה; אחות ראשית; משגיחה; מטרונית 
Coterminous,גובל; בעל שטח זהה
Jovial,"עליז, שמח"
to misconstrue,"לפרש שלא כהלכה, להבין שלא כהלכה"
Plexus,צומת (כגון של עצבים); רשת (עצבים וכלי-דם) 
Plutocrat,עשיר; איל הון; שייך לקבוצת העשירים שבשלטון
Recession,מיתון; שפל; השבה
Gravitas,"רצינות, פיכחות, כובד ראש"
Fussiness,"הקפדת-יתר, דקדקנות; הקמת רעש, רוב מהומה; טרחנות; גנדור; רוב-מלל  "
Amniotic,"של השפיר, של מעטפת העובר ברחם אמו (באנטומיה, זואולוגיה) "
Vacay,נופש
Didactic,לימודי
to meld,להכריז (במשחק קלפים)
Mutagenic,גורם מוטציה (שינוי גנטי)
to enamor,"להקסים, לשבות לב"
Oubliette,צינוק; בור
Phallic,של איבר המין הזכרי
Hilarity,"עליזות, שמחה, צהלה"
Snooty,"שחצן, יהיר, סנוב, ""מרים את האף"""
Bleeding edge,"הטכנולוגיה החדשנית ביותר, כה חדשנית עד שהיא מסוכנת ליישום ולשימוש בשוק ובקרב צרכנים"
Leading edge,החזית המובילה; (במטוסים) שפת ההתקפה (הקצה של משטח אווירי הפונה קדימה אל כיוון התנועה
Cutting edge,"חוד החנית, חזית הקדמה, הטכנולוגיה המתקדמת ביותר; חדות; חוד סכין, קצהו החד של סכין; זוית עבודה חדה של מכשיר דנטלי ידני/ ראש שן המסור/ חדשני, מודרני, מתוחכם ביותר, הנמצא בחזית הטכנולוגיה "
Permeable,חדיר; בר חלחול
Apocryphal,מפוקפק; מזויף; של הספרים החיצוניים
Dowager,"יורשת; מטרונית, אישה כבודה"
Nephrite,נפריט (מינרל)
Jadeite,ג'דאייט (מינרל)
Jade,סוס בלה ותשוש; ירקן (אבן טובה ירוקה); אשה בעלת שם רע
Gastropod,שבלול; חילזון
Hermaphrodite,"אנדרוגיני, דו מיני (אדם או בע""ח שיש לו אברי רבייה של שני המינים או תכונות מיניות של שני המינים, בין אם כתופעה חריגה או כתופעה טבעית בבעלי חיים מסוימים)"
Radula,מִשְׁנֶנֶת (מעין מגרדת משוננת המשמשת רכיכות לשחיקת מזון ולריסוקו)
Scaly,מקושקש; קשקשי; מתקלף
Chemosynthesis,(סינתזה של תרכובות אורגניות באנרגיה המופקת מתגובה כימית) 
Extremophile,"אורגניזם (בד""כ חד-תאי) שסביבתו הטבעית היא בתנאים סביבתיים קיצוניים (כגון: מעיינות חמים, קרחונים, טמפרטורות קיצוניות) "
Amalgamation,איגוד; התמזגות
Take it with a grain of salt,"להתייחס אל הדבר בערבון מוגבל, לא להתייחס לדבר כנכון במאת האחוזים"
By hook or by crook,ייקוב הדין את ההר; בכל מחיר
Atypical,"לא טיפוסי, לא רגיל"
Vermicide,"חומר קוטל תולעים, קוטל טפילים"
Vermin,"מזיק, טפיל, שרץ"
Hypernatremia,"המצב שנגרם כאשר צורכים יותר מדי מלח (רמת הנתרן בדם עולה בצורה ניכרת, דבר העלול לגרום להתכווצות המוח ולפגיעה בו)"
Hyponatremia,"המצב שנגרם כאשר צורכים מעט מדי מלח (גורם לבחילה, הקאות, כאבי ראש, אבדן זיכרון לטווח קצר, בלבול, חולשה ועוד)"
to fumigate,"לחטא בעשן, לחטא באדים"
Agape,"פעור פה/ אחווה, אהבת אחים; אהבת נוצרים"
Manatee,"תחש הנהרות, פרת ים (בע""ח, יונק ימי)"
Oocyte,ביצית (בשלב ההבשלה) 
Mudra,תנועת היד הסמלית בבודהיזם (וביוגה)
Cloaca,פתח בבעלי חיים מסוימים לצואה וחומרים שנחוצים להתרבות
Peristalsis,תנועת מעיים; תנועת קיבה
Sphincter,"סוגר, שריר סוגר (בפי הטבעת וכו')"
Autotomy,"בזואולוגיה-קטיעה עצמית של איבר פגוע או לכוד, כגון זנב לטאה או זנב של עקרב וכו' "
Summation,"חיבור, סיכום, תמצית"
Inconsonant,"לא מתאים, לא תואם, לא עולה בקנה מידה אחד"
to prolapse,"לצנוח (איבר בגוף, בעיקר ברופאה); לשקוע (איבר בגוף, בעיקר ברפואה); להישמט (איבר בגוף, ביקר ברפואה)"
Autotroph,מיקרואורגניזם המייצר בעצמו את התרכובות הנחוצות לקיומו מהסביבה
Acropolis,מצודה
Citrus,(פרי או עץ) הדר
Citron,אתרוג
Nuptial,של נישואים
Thanatosis,"(בזיאולוגיה) הידמות למת, נוהג שבו בע""ח עושה עצמו מת למטרות הישרדות וזיווג"
to fiddle,"לנגן בכינור (סלנג); להתעסק; לעסוק בשטויות; לבזבז זמן; לרמות, להונות "
Malcontent,"לא מרוצה/ מי שנרגן, מי שלא מרוצה"
Macular,"כתמי, של כתם"
Obstinate,עקשן; קשה עורף
Dandelion,(צמח) שן הארי; שנן
to haggle,"להתמקח, להתכווץ"
Necropolis,בית קברות
Tug of war,משיכת חבל (תחרות כוח בין קבוצות או יחידים הניצבים משני קצות חבל ומנסים להעביר את היריב לצד שלהם); מאבק קשה 
Iconoclasm,ניפוץ אלילים; ניתוץ באמונות; שחיטת פרות קדושות; מעשים או דוקטרינות של ניפוץ אלילים וכפירה במוסכמות
to corrugate,לקמט; לתלם
Surrogacy,פונדקאות
Sarcoma,גידול ממאיר
Culpable,"אשם, ראוי לעונש"
Dermatitis,דלקת עור
Blinkered,"מהבהב, מערפל; צר אופקים, שגרתי"
to cajole,"לשדל, לפתות; לרמות"
Lye,"תמיסת חיטוי, בורית"
Exogenic,שמתרחש או שנוצר על אדמת כדור הארץ
Cyclamen,רקפת (צמח)
Serum,נסיוב
Throwaway,"חד פעמי, לשימוש חד פעמי; שנדחה"
Feral,"פראי; פרא, בר; אכזרי"
Saccharin,סכרין (תחליף לסוכר לחולי סוכרת)
to belch,"לפלוט (עשן, אוכל וכו'..); לגהק"
Averse,מתנגד; סולד
Apotheosis,האלהה; מופת
Salvia,מרווה (סוג צמח)
Genotype,ההרכב הגנטי התורשתי של יצור חי (בניגוד לפנוטיפ)
Quonset,צריף בצורת חצי עיגול
Kwanzaa,"קוואנזה, חג הנחוג ע""י אפרו-אמריקנים בין 26 לדצמבר ו-1 בינואר (לציון התרבות האפרו אמריקאית והמורשת המשותפת של השחורים)"
Caboose,מטבח באנייה; קרון צוות
Flavonoid,"תרכובת אורגנית חסרת צבע שמהווה בסיס לגוון הלבן או הצהוב בצמחים מסויימים (משמשת כנוגד חמצון וקיימת בתה, קקאו ועוד)"
Miosis,היצרות האישון
Mydriasis,התרחבות האישון
Anisocoria,מצב שבו אישון עין אחת רחב ואילו אישון עין שנייה צר
Onomatopoeia,"יצירת מילה מצליל שמיוחס למשמעותה (כגון טוסטוס, זמזום, צרצר וכו')"
Negligible,"זעום, זניח; אפסי; לא משמעותי"
Cataclysm,"מהפך קיצוני, קטקליזם; רעידת-אדמה; שואה"
Amnion,שפיר (בגניקולוגיה – אחד מקרומי השליה)
Cervix,צוואר (גם במשמעות של צואר רחם)
Chute,מורד משופע; מגלש; אשד; מדרון 
to flounder,"לפרפר, להתחבט; לנוע בכבדות"
Differential,משתנה; שונה; דיפרנציאלי/ דיפרנציאל (ההפרש הקטן בין שני ערכים סמוכים; מתקן המאפשר מהירות תנועה שונה של שני צירים) 
Sepulcher,קבר
Hamlet,כפר קטן
Shopworn,"בלוי, שחוק, פגום, דהוי (בשל עמידה בחנות) "
Nous,"נשמה, נפש, רוח; שכל, נשמת עולם; היכולת לרכוש ידע (פילוסופיה יוונית); שכל ישר (בריטי) "
to putrefy,להרקיב
Bombshell,"פצצה; הלם; בחורה יפה, כוסית (סלנג)"
Concentric,"משותף-מרכז, חד-מרכז"
Carcinogenic,מסרטן
Prescriptive,מבוסס על נוהג; מעוגן בחוק; קובע כללים
Descriptivism linguistics,ניתוח ותיאור אובייקטיבי של יישום ושימוש בשפה מסוימת
Prescriptivism linguistics,ניתוח ותיאור של שפה מסוימת לפי חוקי הדקדוק הקבועים
Onychophagia,כסיסת ציפורניים
Proteus,אל ים במיתולוגיה היוונית שיכול להחליף את צורתו
Brackish,מלוח במקצת; מבחיל
Stepwise,בשלבים
Adjunct,"תוספת, נספח"
Protestation,מחאה; ערעור; הצהרה חגיגית
Itinerant,"נוסע, נודד (במסלול קבוע); עובר ונודד חליפות"
Myocardial,של שריר הלב
Embolus,סחיף (ברפואה)
Capillary,"נים, נימית/ נימי"
Renal,"כלייתי, של הכליות"
Nephrology,תורת הכליות
Hyperkalemia = Hyperpotassemia,יתר אשלגן בדם (ברפואה)
Hyperphosphatemia,יתר זרחן בדם (ברפואה)
Electrolyte,אלקטרוליט (חומר שהפך למוליך חשמל לאחר שהופרד ליונים בתמיסה) 
Ductile,גמיש; רקיע
Limpieza de sangre,"טוהר הדם (מושג חוקי ומעמדי שנטבע בחצי האי האיברי בעקבות סיום הרקונקיסטה, שקובע מעמד מיוחד ל""נוצרים הישנים"", ובכך מפלה את בני המיעוט היהודיים והמוסלמים, בין אם התנצרו ובין אם לאו)"
Penance,עונש עצמי; סיגוף; תשובה
to gussy up,"להתגנדר, להטרזן, להתפרכס"
Cuticle,עור קרני (בציפורן; העור המת בבסיס הציפורן); השכבה החיצונית של השער; שכבה מגינה שמכסה צמחים או רמשים
to garnish,"לקשט, לעטר(בייחוד מנת אוכל); לעקל (רכוש, כסף) "
Inflection,נטייה דקדוקית; הטיה; שינוי גוון הקול; (בגרף) פיתול
Interstice,"מרווח בין-רקמתי (באנטומיה); מרווח-ביניים; רווח קטן, סדק "
Appanage,צירוף טבעי; רכוש
Pulp,"ציפה (בשר הפרי); דייסה; כתש/ כתוש, טחון; רך כדייסה; באיכות ירודה; מרוסק, שחוק (רפואה)"
Pith,תמצית; עיקר; עצמה; חומר ספוגי(בצמח); חוט השדרה (בבוטניקה) 
Sedge,כריך (צמח ביצות)
Bagasse,"פסולת של זיתים, קנה סוכר או ענבים"
Demesne,"אחוזה, בעלות"
Permissive,מרשה; מתירני
Dodgy,"שלא ניתן לסמוך עליו, ערמומי"
Aphantasia,"אי היכולת ליצור דמיון, מוגבלות בראיית דמיונות בראש"
Salacious,"שטוף זימה, תאוותני; גס"
Pugnacious,אוהב מדון; לוחמני
Apogee,"הנקודה הרחוקה ביותר במסלול הירח; שיא המרחק, שיא הגובה "
Bellicose,שוחר ריב; איש מדון
Jingoism,לאומנות קיצונית
Eponym,אדם אשר משמו נגזר שם מקום או דבר כלשהוא; שם רפואי למחלה הנגזר משמו של אדם; נושא משרה ציבורית לשעבר אשר שמו נמצא בשימוש לציון שנת כהונתו 
Minced oath,"ביטוי לשון נקייה שנוצר עקב שינוי באיות, בהגייה או בהחלפה של חלק ממילה גסה או אסורה על מנת להמנע משימוש במילה זו"
to crystallize,"לגבש; להיעשות למגובש; להפוך לגביש, להקשות; להתגבש לגבישים; לקחת צורה של; לקבל צורה של; להבהיר, להסביר, לבאר, לעשות למובן, לעשות לנהיר"
Ruddy,"אדום, אדמומי, סמוק, אדמוני, אדמדם"
Plasmolysis,הרס הפלזמה (הנוזל בדם); התכווצות הפרוטופלזמה בתא החי
Vacuole,חלל
Aqueous,"מימי, של מים"
Metonym,מילה נרדפת
Distal,מרוחק מהמרכז
Hospice,"אכסניה, פונדק; הוספיס, בית מחסה או מנוחה, בית הארחה, פונדק; מוסד לחולים כרוניים או סופניים "
to snivel,"להפריש ריר מהאף; ""למשוך באף""; להתלונן, להתבכיין"
Diastole,שלב בפעולת הלב שבו שרירי הלב מתרחבים
Sensuous,חושי; נתפס בחושים; פועל על החושים
Ignominious,"מחפיר, משפיל; שפל, נבזה, נקלה"
Musth,(זואולוגיה) התעוררות מינית אחוזת טירוף ולרוב אלימה אצל פילים
Rut,"עונת הייחום; חריץ, תלם; שגרה"
Carnosaur,דינוזאור דו רגלי אוכל בשר
Circuitous,"עוקף, עקיף"
Heartfelt,"עמוק, כן, רציני"
Ayahuasca,גפן טרופית עצית הידועה בתכונתה לגרום להזיות (מצויה באזור האמזונס); משקה מעורר הזיות העשוי מעצת גפן זו 
Expiator,"מכפר, מרצה"
to enrapture,להלהיב; למלא שמחה
to festoon,לקשט בשרשרות
Squiggle,שרבוט
to expiate,"לכפר, לרצות עוון"
Monochrome,"ציור בצבע אחד, אמנות הציור בצבע אחד/ אמנות הציור בצבע אחד; של אורך-גל אחד "
Intercut,סצנה בסרט שהינה תוצאה של שילוב אירועים שונים המתרחשים בו-זמנית 
Luscious,ערב לחך; ריחני; מהנה; מגרה; שופע; חושני; מתוק 
Slog,"חבטה, מהלומה חזקה; עבודה מפרכת"
Détente,הפוגה/ תקופת הפוגה זמנית במלחמה הקרה (בשנים 1965-1975) 
Hawkish,נצי (ניקוד: חיריק) 
Summarily,"בקיצור, בצורה תמציתית"
Perspicuous,"מנוסח ברורות; צלול, מובן על נקלה; מבחין, מבין; בהיר; צח "
Spoke,"חישור (באופן, בהגה); שלב (בסולם) "
Malarkey,"שטויות, דברים חסרי משמעות "
Contrition,מוסר כליות
Ectotherm,"בע""ח בעל דם קר, יצור שאינו מייצר חום בעצמו ואשר חום גופו משתנה ומתווסת ע""י הסביבה (כגון: זוחלים וצפרדעים)"
Endotherm,"בע""ח בעל דם חם, יצור אשר חום גופו פחות או יותר קבוע ואינו מושפע מן הסביבה (שומר על טמפרטורת הגוף ע""י יצירת חום בעצמו)"
Headwind,רוח נגדית
Atavism,מורשת מדורות קודמים
Abattoir,"בית מטבחיים, משחטה, מקום לשחיטת בהמות"
Ennui,"שעמום, עייפות"
Tomfoolery,"טיפשות, שטות"
to probate,לאשר צוואה; לשים במבחן
Convection,"הסעת חום, הסעת חום על ידי תנועה של אוויר או נוזל או גז שנחשפים לחום; (מטאורולוגיה) תנועה אנכית של חום דרך תווך מוצק בתוך האטמוספירה "
Raucous,"צרוד; מחוספס; רועש, צעקני, קולני"
to instantiate,"לאדגם, להוכיח בעזרת דוגמה, לספק דוגמה; ליצור אובייקט מוגדר ע""י הצבת ערכים ספציפיים בחלק מן המשתנים (תכנות מחשבים) "
Liminal,"סיפי, סף, שעל סף ההכרה (בפסיכולוגיה); בקושי נראה לעין "
Emergentism,"התפיסה לפיה תופעה אינה ניתנת להסבר לפי הפרט הקטן, תיאוריה לפיה לא ניתן להסביר את כל התופעות באמצעות מספר כללי יסוד בודדים משום שנכנסים אלמנטים נוספים שמשפיעים על התופעה שאינם נלקחים בחשבון"
Reductionism,"תיאוריה לפיה תופעה ניתנת להסבר לפי הפרט הקטן, תיאוריה לפיה ניתן להסביר את כל התופעות באמצעות מספר כללי יסוד בודדים"
Isotropic,"איזוטרופי, שתכונותיו ומאפייניו אינם משתנים בכל הכיוונים, שתכונותיו זהות בכל נקודה במרחב (פיזיקה); (זואולוגיה) בעל צורה סתמית (בה אין עדיפות לציר מסוים) ובלתי מוגדרת במרחב (למשל בע""ח כדורי) "
to rollick,להתהולל
Eponychium,קרומית הציפורן
Eczema,"חככת, גָּרָב, מחלת עור"
Inviolable,"קדוש, שאין לחללו; שאין להפר אותו"
Chronesthesia,היכולת לטייל בזמן בדמיון לעתיד או לעבר (להזכר במאורעות העבר או להרהר על הטמון בעתיד)
Glaive,חרב (ארכאי)
Zen,"ענף ידוע של בודהיזם מהאיינה, דת הבודהיזם המקובלת ביפן בקוריאה ווייטנאם"
Anemone,כלנית (פרח)
Sea anemone,שושנת ים
Kleptoparasite,בעל חיים כלשהו אשר גוזל את מזונו של זן אחר
Cantaloupe,סוג מלון
Friable,"פריך, שביר"
Gasket,אטם; רצועת מפרש
to tootle,לחצרר; לתקוע (בכלי נשיפה)
Hellion,עושה צרות (סלנג)
Omnivorous,אוכל הכל; זללן; קורא הכל
Declension,"נטייה, שיפוע"
Citizenry,ציבור האזרחים
Etiology,"חקר סיבות המחלות; חקר הסיבתיות, חקר הסיבות, הגורמים והמקורות של תופעה מסוימת"
Deicide,רצח אל; השמדת אל; רוצח אל
Infraction,"הפרה, עבירה"
Aphasia,"שכחת לשון, שתקת, מחלה נוירולוגית שבה אדם מתקשה להזכר במלים"
to fibrillate,לפרפר (ברפואה)
Intransigence,אי פשרנות; אי גמישות
Palliative,מרגיע; מקל; ממתיק
Antibody,נוגדן
Anodyne,מרגיע; משכך/ משכך כאבים
to clack,לתקתק; לפטפט
to duke,"להלחם, להיאבק, להיות נתון במאבק"
Cryptonym,שם קוד
Woolly,"צמרי, צמרירי; דמוי-צמר; מכוסה פלומה; מעורפל, לא ברור/סוודר, אפודה; לבוש תחתון מצמר "
Affordance,אפיון הקשר בין חפץ דומם או סביבה מסוימת לבין אורגניזם אשר (החפץ או הסביבה) מעודדים אותו לפעול בצורה מסוימת
Umwelt,")באתולוגיה) העולם, כפי שחווה אותו אורגניזם מסוים (לעומת חוויה של אורגניזם אחר)"
Spaulder,סוג של שריון לכתף
Pauldron,סוג של שריון לכתף (גדול יותר מ- spaulder)
to collimate,לקבוע קווים מקבילים; לכוון מכשיר מדידה 
Voulge,חנית עם חרב בקצה
Halberd = Halbert,חנית עם גרזן בקצה
Nymphomaniac,"אדם (שטוף זימה, בעל תשוקה מינית חולנית ולא מרוסנת) "
Circumlocution,גיבוב מילים על מנת להגיד משהו פשוט (למטרות בלבול או משום שהדובר אינו דובר השפה כשפת אם)
Dysphemism,"מונח פוגעני או בלתי נעים שמשתמשים בו, ההפך מלשון יפה"
to hunker down,לשבת ישיבה שפופה; להתכונן לעבודה מאומצת
Lamprey,(סוג דג) דג דמוי צלופח
Troglodyte,שוכן מערות; מתבודד
Isopod	,"שווה רגליים, בעל חיים סרטני (החי במים מתוקים, בים או ביבשה) בעל 7 זוגות רגלים"
Tadpole,ראשן
Ruminant,"מעלה-גירה; שקוע במחשבות, מהורהר "
to masticate,ללעוס
Ghee,סוג של חמאה נוזלית העשויה מחלב פרה או תאו הנמצאת בשימוש הבישול ההודי 
to adulterate,לפגום; למהול חלב במים
Epidemiology,חקר מגיפות
Spine,"עמוד-שידרה, שדרה; גב-ספר; קוץ, דורבן, עוקץ "
Trousseau,חפצי הכלה
Embryogenesis,התפתחות עובר
to chatter,לפטפט; לתקתק
Fallopian tube,"חצוצרת הרחם, חצוצרה"
Cyto,"תאי, שנוגע לתא"
Omnibus,מקיף; כולל/ אוטובוס; כתבי סופר; קובץ
Proselyte,גר; מומר; עריק פוליטי
Polyamory,קיום מערכת יחסים מבוססת אהבה עם יותר משותף אחד
Pitchfork,קלשון
Empty nesters,הורים שילדיהם גדלו ועזבו את הבית
Mycology,תורת הפטריות
to prevaricate,לומר חצאי אמת; לשקר; למעול
Ontology,חקר ההוויה; תורת ההוויה
Referee,"שופט, בורר "
Nevus,שומה; סימן לידה
Adjuvant,"מסייע, עוזר, המשמש כעזר; המשמש כטיפול עזר במחלה (רפואה) / עוזר, סייע; תרופה או טיפול הניתנים כתוספת עזר לטיפול העיקרי (רפואה); חומר מסייע הניתן כתוספת לאנטיגן או לחיסון על מנת להמריץ את התגובה החיסונית (אימונולוגיה) "
to delate,"להפיץ ברבים, להלשין"
Sacrosanct,"קדוש ומקודש; קדוש, שאין לחללו; שנוהגים בו כקדוש "
to triplicate,לשלש
Anterograde,"של מחלת השכחה; תקופה משפיעה מיד לאחר טראומה; (ברפואה) הנע קדימה, מתקדם "
Superfine,"איכותי מאד, באיכות גבוהה מאד"
Singleton,ילד יחיד; קלף בודד; התרחשות בודדת; דבר יחיד
Hypnopompic,הקשור לשלב בשינה שמקדים את היקיצה
Canard,"סיפור בדים, בדותה "
Hypertrophy,"היפרטרופיה, גדילת יתר (של איבר וכו') "
Tubular,צינורי
Alumnus,בוגר מוסד להשכלה
Oakum,חבלים ישנים
Measles,חצבת (מחלה)
Macro,"גדול, ארוך (בא כתחילית) "
Feticide=Foeticide,"המתת עובר, הפלה"
to defray,לשלם
Whorl,"דור (בבוטניקה. ניקוד: קובוץ); לולאה, פיתול (בקונכייה, בטביעת אצבע) "
Abscission,"קטיעה, כריתה, ניתוק, חיתוך; נשירה, התנתקות של עלים או פרחים או פירות"
Peroration,סיכום של נאום
Chimaera,"מפלצת אגדית (בעלת ראש אריה, גוף עז וזנב נחש); מפלצת דמיונית בעלת איברים לא תואמים; תעתועים; אדם או איבר עשויים מרקמות עשויות מהרכבים גנטיים שונים; סוג של דג החי בעמקי הים (בעל שלד סחוס, גוף הולך וצר, עור חלק וזנב דמוי שוט)"
Voluminous,רב תכולה; רב כרכים; פורה
Limnology,חקר האגמים; חקר החיים באגמים
Hydrology,חקר המעטפת המימית של כדור הארץ
Enthalpy,"אנתלפיה, סכום החום הפנימי של מערכת בתוספת מכפלת נפח המערכת והלחץ החיצוני (תרמו דינמיקה) "
Limnetic,"השייך או הקשור למים שבמרכז גוף מים מתוקים, החי בחלק הרחוק מן החוף של אגמים או בריכות"
Profunda,"וריד עמוק, עורק עמוק"
Benthic,של קרקעית הים
Cirque,"בקע הררי, שקע דמוי-ירח בעל קירות תלולים בשיפולי גבעה או הר הנוצר כתוצאה משחיקה על ידי שלג וקרח (גיאולוגיה); מעגל; קרקס (ארכאי מצרפתית) "
Tarn,אגם קטן בהרים
Sundog,"שמש מדומה, חיקוי לשמש, שמש מזויפת, שמש דמיונית; קשת חלקית קטנה הנראית לעתים ליד השמש "
Parhelion,שמש מדומה
Forfeiture,"חילוט, החרמה, הפקעה; קנס"
to suture,"לתפור, לאחות (ברפואה)"
Inflammation,דלקת; התלקחות
Ocular,של העיניים; של ראייה; גלוי לעין
Asymptomatic,"ללא סימפטומים, ללא תסמינים, לא אופייני"
Perfidy,בגידה; מעילה
Realpolitik,"שלטון הכוח, פוליטיקה המבוססת יותר על שיקולים פרקטיים מאשר אידיאולוגיים"
Machiavellianism,ערמומיות
Pentarchy,"כינוין של חמש הפטריארכיות המסורתיות שהיו מרכזן של הכנסייה העולמית בעולם העתיק ולפני הפילוג הגדול של 1054 (מיקומן: אלכסנדריה, ירושלים, אנטיוכיה, קונסטנטינופול ורומא)"
Mallow,חלמית (פרח)
to scry,לראות או לחזות את העתיד בעזרת כדור בדולח (ארכאי); להבחין מרחוק
to advert,לרמוז; להתייחס ל-; להעיר 
Preterist,"גישה בנצרות שמפרשת חלק או את כל התנ""ך כאירועים שהתרחשו בעבר"
Eschatological,"הקשור לאסכטולוגיה, של חזון אחרית הימים, אסכטולוגי"
Eschaton,"סוף העולם, המאורע האחרון בתכנית האלוהית"
Rapture,"התלהבות, אושר, שמחה, התפעלות; מצב של היות שטוף רגשות; האמונה שבסוף העידן הנוצרים החיים והמתים יהיו בשמים עם אלוהים (בנצרות) "
Glade,קרחת יער
Maelstrom,מערבולת
Uncouth,גס
Catatonia,(בפסיכיאטריה) קהות חושים ונוקשות שרירים
Clipnosis = Pinch induced behavioral inhibition,"מצב שיתוק חלקי שנגרם עקב לחיצה על העור שמאחורי הצוואר (קורה אצל חתולים, מה שמאפשר לאם להרים את ילדיה מבלי שאלה יתנגדו)"
Glycemia,גלוקוזה בדם (רפואה)
Caudal,"זנבי, של או ליד הזנב"
Pectoral,סנפיר חזה; קישוט לחזה
Baritone,בריטון (קול גברי בין טנור לבס)
Raspy,"מגרד, צורם"
Ism,"שיטה, השקפה, תורה"
Accolade,תהילה; שבח; הענקת תואר אבירות על ידי טפיחת החרב על הכתפיים; כרכוב עקום (בארכיטקטורה) 
Factoid,"עובדה למחצה, אמת בלתי מוכחת, פיסת מידע לא מוכחת או לא נכונה המוצגת כעובדה קיימת שרבים מאמינים בה "
Phrenology,ניתוח תכונת אופי לפי תצורת הגולגולת או המוח (פסאודו מדע)
Mallard,"ברכיה, ברכיה, מין ברווז בר נפוץ ומאבותיהם של רוב ברווזי הבית "
Lingo,"שפה, לשון, עגה, ז'רגון (סלנג)"
Anosognosia,"הפרעה נפשית שבה החולה מתקשה להפנים שיש לו מחלה, מום או בעיה רפואית כזו או אחרת"
Hale,בריא
Tautology,"טאוטולוגיה (חזרה על אותו רעיון שלא לצורך, כפל לשון מיותר) "
Abnegation,הקרבה עצמית
Run of the mill,"רגיל, נפוץ, שאינו מיוחד בשום צורה; שאיכותו וזמינותו רגילים"
Glans penis,"עטרה, ""כיפה"", החלק העליון ביותר של הפין"
Foreskin,"ערלה, ערלת הפין"
Prepuce,"ערלה, ערלת הפין"
to fusillade,"להתקיף במטח יריות; להמטיר (אש, שאלות, הערות וכו')"
to pick a bone with,"""לסגור חשבון"" עם מישהו"
Baccate,"דמוי גרגרת, דמוי עינב"
Crinkle,קמט
Naivete,"נאיביות, תמימות; פשטות; פעולה או הערה נאיבית"
Tenement,"מקום מגורים; בית משותף, בית דירות"
Dimorphic,דו צורתי (מתקיים בשתי צורות שונות)
Pocketbook,ארנק; פנקס
Obligate,(ביולוגיה) שמוגבל לפונקציה מסוימת או למצב חיים כלשהו
Groove,חריץ; מסילה; אורח חיים
Harlequinade,מופע ליצנות
Unabashed,"לא נבוך, חסר בושה"
Pincer,צבת; זרוע
Parietal,דפני; כותל
Occipital,עצם העורף/ עורפי; של עצם העורף
Lobe,אונה; תנוך האוזן; בדל
Solipsism,סוליפסיזם (תורה פילוסופית שלפיה האני יכול להיות מודע רק לעצמו ולפיכך קיים לבדו)
Instalment,"תשלום (מתוך סדרת תשלומים); פרק, חלק, המשך (בסדרה)"
Quintet,"חמישייה, חמשה, קווינטט (במוסיקה וכו')"
Internationalism,שיתוף בינלאומי
Schoolmarm,מורה קפדנית ומחמירה מהדור הישן
to ring hollow,"להראות שקרי, מזויף או לא אמין; להיות בלתי משכנע"
Hematite,המטיט
Automaton,"בובה מכנית, אוטומטון (בובה דמוית אדם, שבתוכה מנגנון הגורם לה ככלל או לחלקים ממנה להתנועע)"
